"App Name","App ID","Store","Device","Country Code","Language Code","Main App ID","Main App Name","Date","Average Rating","RA 5 stars","RA 4 stars","RA 3 stars","RA 2 stars","RA 1 star","Total Ratings","Average Reviews Daily","RE 5 stars Daily","RE 4 stars Daily","RE 3 stars Daily","RE 2 stars Daily","RE 1 star Daily","Total Reviews Daily","Ratings Average Daily Change","RA 5 stars Daily","RA 4 stars Daily","RA 3 stars Daily","RA 2 stars Daily","RA 1 star Daily","Total Ratings Daily"
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-05","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-06","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-07","4.246","1869320","296955","155357","92834","287862","2702328","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-08","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-09","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-10","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-11","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-12","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-13","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-14","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-15","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-16","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-17","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-18","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-19","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-20","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-21","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-22","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-23","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-24","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-25","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-26","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-27","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-28","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-29","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-04-30","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-01","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-02","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-03","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-04","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-05","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-06","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-07","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-08","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-09","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-10","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-11","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-12","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-13","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-14","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-15","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-16","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-17","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-18","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-19","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-20","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-21","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-22","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-23","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-24","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-25","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-26","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-27","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-28","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-29","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-30","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-05-31","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-06-01","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-06-02","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-06-03","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-06-04","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-06-05","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-06-06","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-06-07","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-06-08","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-06-09","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-06-10","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-06-11","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-06-12","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-06-13","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-06-14","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-06-15","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-06-16","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-06-17","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-06-18","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-06-19","4.193","1949382","317224","185271","108525","330077","2890479","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-06-20","","","","","","","","0","0","0","0","0","0","0","","","","","","",""
"Android Auto","com.google.android.projection.gearhead","Android","google","in","in","com.google.android.projection.gearhead","Android Auto","2022-06-21","4.191","1952130","317601","186749","109245","330958","2896683","0","0","0","0","0","0","0","","","","","","",""
